"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,,0,0,1,0,33,1389,TX,AUSTIN,78746
2022,,0,0,1,0,51,5198,GA,NORCROSS,30092
2022,,0,0,1,0,42,0475,WA,TUKWILA,98188
2022,"0 NORTH AVE WAKEFIELD LLC",1,0,0,0,53,4694,MA,WAKEFIELD,01880
2022,"1 800 CONTACTS INC",0,0,1,0,42,1643,UT,DRAPER,84020
2022,"10BITS LLC",2,0,5,0,54,5441,TX,IRVING,75063
2022,"10X GENOMICS INC",1,0,8,0,54,4458,CA,PLEASANTON,94588
2022,"1211 WPR MED SVCS PC DBA BRONXDOCS",0,0,1,0,62,9346,NY,BRONX,10472
2022,"14 WEST ADMINISTRATIVE SVCS LLC",0,0,1,0,51,5681,MD,BALTIMORE,21201
2022,"1661 INC D/B/A GOAT",0,0,3,0,45,1406,CA,"LOS ANGELES",90018
2022,"19 VARNUM ST OPERATING CO LLC",0,0,1,0,62,1991,MA,LOWELL,01850
2022,"1ST COAST NO MORE HOMELESS PETS IN",0,0,1,0,54,9158,FL,JACKSONVILLE,32208
2022,"1ST FAMILY DENTAL PC",0,0,1,0,62,3363,IL,ADDISON,60101
2022,"1STDIBS COM INC",1,0,0,0,45,9618,NY,"NEW YORK",10003
2022,"1WORLDSYNC INC",0,0,1,0,54,4878,IL,CHICAGO,60606
2022,"2 7 AUGUST APPAREL INC",0,0,1,0,99,9873,CA,"LOS ANGELES",90007
2022,"2 SWEET OF YONKERS INC DBA AUNTIE",0,0,1,0,44,4047,NY,LEVITTOWN,11756
2022,"21 STAFF LLC",0,0,2,0,54,3144,CA,PLEASANTON,94588
2022,"22 STREET SAI LLC",0,0,1,0,72,1802,NY,BROOKLYN,11232
2022,"22ND CENTURY TECHNOLOGIES INC",1,0,3,0,54,2121,VA,"MC LEAN",22102
2022,"23ANDME INC",0,0,3,0,62,7371,CA,SUNNYVALE,94086
2022,"24 7 AI INC",0,0,1,0,54,9939,CA,"SAN JOSE",95124
2022,"24 ON PHYSICIANS PC",0,0,1,0,62,9828,GA,ALPHARETTA,30009
2022,"24X7SYSTEMS INC",0,0,1,0,54,5663,GA,ALPHARETTA,30004
2022,"2600HZ INC",0,0,0,1,51,7748,NV,HENDERSON,89052
2022,"2A USA INC",1,0,0,0,33,2681,AL,AUBURN,36832
2022,"2H OFFSHORE INC",1,0,0,0,54,3800,TX,HOUSTON,77079
2022,"2K GAMES INC",1,0,2,0,51,1726,CA,NOVATO,94949
2022,"2M SOLUTIONS INC",1,0,0,0,56,6900,TX,"GRAND PRAIRIE",75050
2022,"2ND ORDER SOLUTIONS INC",2,0,0,0,52,0506,VA,"GLEN ALLEN",23060
2022,"2RW CONSULTANTS INC",0,0,1,0,54,0035,VA,FAIRFAX,22031
2022,"2SEVENTY BIO INC",0,0,2,0,54,8454,MA,CAMBRIDGE,02142
2022,"3 GIS LLC",0,0,4,0,54,0965,AL,DECATUR,35601
2022,"3 KEY CONSULTING INC",1,0,0,0,54,6073,CA,"SIMI VALLEY",93063
2022,"300 ENGRG GROUP PA",0,0,1,0,54,2529,FL,MIAMI,33134
2022,"317 LABS INC DBA EMOTIVE",1,0,0,0,54,1122,CA,"LOS ANGELES",90064
2022,"365 RETAIL MARKETS LLC",0,0,3,0,51,7511,MI,TROY,48084
2022,"3AMIGOSIT LLC",1,0,0,0,54,4552,OH,COLUMBUS,43235
2022,"3B STAFFING LLC",3,0,0,0,54,8045,NJ,NEWARK,07102
2022,"3BRIDGE SOLUTIONS LLC DBA THREEBRI",1,0,1,0,54,3477,MN,MINNEAPOLIS,55402
2022,"3CINTERACTIVE CORP",1,0,0,0,54,9760,FL,"BOCA RATON",33487
2022,"3CORE SYSTEMS INC",0,0,2,0,54,1170,TX,AUSTIN,78758
2022,"3D SYSTEMS INC",0,0,1,0,33,7939,SC,"ROCK HILL",29730
2022,"3D SYSTEMS INC",1,0,5,1,33,8939,SC,"ROCK HILL",29730
2022,"3D TECHNOLOGIES LLC",4,0,0,0,54,3952,NE,MCCOOK,69001
2022,"3DEO INC",0,0,1,0,33,1081,CA,TORRANCE,90505
2022,"3E CONSULTING INC",0,0,1,0,54,1599,FL,MIAMI,33180
2022,"3H SYSTEMS LLC",0,0,1,0,54,2816,GA,SUWANEE,30024
2022,"3I INFOTECH INC",1,0,11,0,54,3452,NJ,EDISON,08837
2022,"3I PEOPLE INC",0,0,1,0,54,5372,GA,ALPHARETTA,30022
2022,"3ITEK LLC",0,0,1,0,54,3782,NC,CHARLOTTE,28262
2022,"3J INTERNATIONAL LTD CO",1,0,0,0,42,4451,TX,IRVING,75038
2022,"3K TECHNOLOGIES LLC",8,0,2,0,54,4148,CA,MILPITAS,95035
2022,"3M COMPANY",6,0,7,0,33,7775,MN,"SAINT PAUL",55144
