,Employer,Approvals,Share of All Approvals
19734,INFOSYS LIMITED,15426,3.246738213052199
2182,AMAZON COM SERVICES LLC,12942,2.723926225419523
38949,TATA CONSULTANCY SVCS LTD,10521,2.214373962110864
9022,COGNIZANT TECHNOLOGY SOLUTIONS US,8891,1.8713049042037535
16754,GOOGLE LLC,6464,1.360489810007093
25731,MICROSOFT CORPORATION,6443,1.3560699018990872
11269,DELOITTE CONSULTING LLP,6231,1.311449877189696
14283,FACEBOOK INC,5100,1.0734062548013883
44597,WIPRO LIMITED,4895,1.030259532794666
3046,APPLE INC,4727,0.99490026793062
